invoice_id,customer_id,as_of_date,invoice_amount,payment_terms_days,historical_invoice_count,historical_total_invoice_value,historical_average_invoice_amount,historical_paid_invoice_count,historical_late_payment_count,historical_late_payment_rate,historical_average_payment_delay_days,historical_max_payment_delay_days,historical_outstanding_amount,historical_outstanding_ratio,late_payment_target
0c554789-1b35-4662-a455-d33f364d0f27,a62bcc77-cf9c-44a3-920f-2e2e57c723dc,2025-03-10,421.14,30,4,33628.59,8407.147500,4,3,0.7500,3.2500,9,0.00,0.000000,1
d67090f5-455d-4a66-9209-fb3f6e3fc941,0915900f-d22e-42b0-8e9e-810e55498a13,2025-03-11,1292.55,15,5,13168.63,2633.726000,5,1,0.2000,0.4000,2,0.00,0.000000,0
fefeaeb1-8a24-4d54-9807-2e080f8d8f3a,ced1be46-44d9-42f9-913f-bf359f04d616,2025-03-11,3057.71,15,3,6258.62,2086.206667,3,1,0.3333,1.0000,3,0.00,0.000000,1
10b22bf2-21c3-4026-bd05-ce00b6ee9d3c,86ab916f-9734-41f0-b5c0-9bbc082b3251,2025-03-12,1428.12,30,5,13954.60,2790.920000,3,1,0.3333,0.6667,2,2267.44,0.162487,1
020c5871-221c-4a97-9036-66beb340448e,a137cf0f-749a-402e-9913-60a7f4a47b92,2025-03-13,1006.56,30,3,7370.29,2456.763333,2,1,0.5000,2.5000,5,3311.87,0.449354,0
8217846d-7f00-4668-a688-522947f31563,b247c235-943b-4c46-91c2-168e86d26161,2025-03-15,701.63,45,3,1483.71,494.570000,2,1,0.5000,0.5000,1,627.48,0.422913,1
82c4c033-6208-47d7-a4de-495113c2348f,9013910b-257e-462f-8142-555578e385a5,2025-03-17,2241.58,45,3,14311.78,4770.593333,2,2,1.0000,6.5000,9,1424.51,0.099534,1
df1c045c-a456-4efd-969f-0a0e87d4f63d,db49dbe2-b046-4b0c-8d11-6e496b852270,2025-03-18,4985.40,30,3,9656.68,3218.893333,3,1,0.3333,0.6667,2,0.00,0.000000,1
28a1c1d8-a6db-487d-a9b2-7ddada143fd8,8daa11dd-d410-44bf-a0de-622a9ca7c78d,2025-03-19,2031.83,15,4,16950.97,4237.742500,3,1,0.3333,0.6667,2,627.48,0.037017,1
2c9cb362-06d4-45d3-b756-615eff35cd37,a62bcc77-cf9c-44a3-920f-2e2e57c723dc,2025-03-22,662.17,30,5,34049.73,6809.946000,4,3,0.7500,3.2500,9,421.14,0.012368,0
ea1492ba-c0f6-421d-88df-7f2a569fa1d3,5d5fa6d8-0ad7-4ade-be35-1c481b16b275,2025-03-22,1645.48,45,3,10342.31,3447.436667,2,2,1.0000,12.5000,16,812.39,0.078550,1
2d95a29b-f453-4456-9de2-382f8f83d5f1,585a8991-c44f-4e18-b8e0-6283bf6f9aff,2025-03-23,1864.86,15,3,9420.97,3140.323333,3,2,0.6667,4.3333,12,0.00,0.000000,1
4494bc14-cfeb-4eef-bbc1-21a8e92f48cf,20791844-68d1-4c47-8940-96e45daf918f,2025-03-24,2241.58,30,3,8024.18,2674.726667,2,0,0.0000,0.0000,0,1238.87,0.154392,0
a4a98458-4129-4f63-bb01-0a1d8efd5b62,e05c9e8f-2852-4c9d-9c2a-756d89ba64a0,2025-03-24,3385.12,30,3,7286.69,2428.896667,3,1,0.3333,0.3333,1,0.00,0.000000,1
b23a5005-3458-4272-82ff-45e4d22a0f16,da7dbacc-46a8-44dc-b4c5-5e21bf437da6,2025-03-24,4231.40,30,3,9948.30,3316.100000,3,1,0.3333,4.0000,12,0.00,0.000000,0
aee9303d-f583-4cef-9e9b-5c17b2619245,5772f550-5886-44ab-b618-cc525d22c053,2025-03-25,4947.18,30,4,8596.54,2149.135000,2,1,0.5000,1.5000,3,6554.29,0.762433,0
3c7c8ed3-8154-4414-b1ef-ba76c90d3683,027e2c71-76f6-44d8-b214-51097fc3e605,2025-03-28,1068.39,15,3,8596.26,2865.420000,2,0,0.0000,0.0000,0,441.52,0.051362,0
4b821583-a04b-4e6c-85a6-25a22a5c0f00,6fb7d847-f44b-41dc-a325-7b26c61cbc96,2025-03-28,823.98,45,3,15254.19,5084.730000,2,0,0.0000,0.0000,0,4704.89,0.308433,1
bd3044ea-fcec-42dc-b2f0-f74d4f96fefd,2576b737-f022-4e9c-8640-a88226cea0ff,2025-03-28,1735.44,30,3,11518.91,3839.636667,2,0,0.0000,0.0000,0,1171.61,0.101712,1
f08ddb08-7dd1-44c3-99df-db7e831e9f6c,9de44d71-02d0-4684-a314-54f9abd3f2cd,2025-03-30,778.44,15,3,5830.31,1943.436667,2,2,1.0000,1.5000,2,1175.83,0.201675,1
2180abb1-dd8c-4d87-adca-8c61457747e3,66aa9f2d-de6b-4def-8269-b6d0177dbf9a,2025-03-31,1019.24,30,4,29913.03,7478.257500,3,1,0.3333,1.0000,3,1940.24,0.064863,0
ae4b5945-2709-4157-9386-2d80c344c185,ff29a3b3-fb27-44ad-8dcc-9551fb3c7420,2025-03-31,1905.20,45,4,5524.65,1381.162500,3,1,0.3333,4.6667,14,1246.35,0.225598,0
fc452bde-f67b-4465-a6af-b15f11da2920,0915900f-d22e-42b0-8e9e-810e55498a13,2025-03-31,4449.73,15,6,14461.18,2410.196667,6,1,0.1667,0.3333,2,0.00,0.000000,1
8218ce7c-5b69-4211-9ffd-088383ab8958,dbc5aa6b-529c-4c91-8331-7ec33c8503bb,2025-04-02,1101.18,30,3,5563.02,1854.340000,2,1,0.5000,1.0000,2,3716.48,0.668069,1
a2c00283-6d47-4706-89a4-5c7096963dfe,cd796877-895f-4bcc-8fe0-0c8c6c4e68b0,2025-04-03,3532.45,30,3,3962.04,1320.680000,2,2,1.0000,4.5000,6,524.42,0.132361,0
3f49b48a-db70-46a3-ba4c-b6ce1ef729eb,e74c4bf9-90b2-4723-8b21-9af623c5b124,2025-04-04,3091.22,45,3,7585.46,2528.486667,3,0,0.0000,0.0000,0,0.00,0.000000,1
f098aa52-1cec-4a87-b2ea-2360f17aaf56,20791844-68d1-4c47-8940-96e45daf918f,2025-04-05,2123.63,30,4,10265.76,2566.440000,2,0,0.0000,0.0000,0,3480.45,0.339035,0
1da454ab-1d4d-445e-8e9a-b86f5769560c,3378475b-b350-4593-9546-01468d85dcd8,2025-04-06,2762.66,30,3,2841.52,947.173333,2,0,0.0000,0.0000,0,1420.19,0.499799,0
8f260090-e66b-4be0-9d92-206fe2f199f8,a69011f4-c3f9-4f91-92f2-3df9072b53e7,2025-04-07,842.29,15,3,3730.18,1243.393333,2,0,0.0000,0.0000,0,2115.62,0.567163,0
f6433829-68c8-42b6-8be0-23f853950db0,28e3eb2f-4e60-491c-8ecf-9260a4a4ced4,2025-04-07,1647.95,45,3,24556.54,8185.513333,3,2,0.6667,1.6667,3,0.00,0.000000,1
96f530d8-db97-4aa3-8b78-887eab32a0a1,dbc5aa6b-529c-4c91-8331-7ec33c8503bb,2025-04-10,691.05,30,4,6664.20,1666.050000,2,1,0.5000,1.0000,2,4817.66,0.722916,1
ccafa6ca-0edd-4b32-9e68-23feb490879d,44e18ff7-c6c4-4f05-810a-10acda026843,2025-04-10,478.61,30,3,12615.92,4205.306667,3,0,0.0000,0.0000,0,0.00,0.000000,1
382e21e8-aa97-4d62-b205-2ffc6cc6d379,e05c9e8f-2852-4c9d-9c2a-756d89ba64a0,2025-04-11,4076.94,30,4,10671.81,2667.952500,3,1,0.3333,0.3333,1,3385.12,0.317202,0
3cf37557-d08e-4bc5-b644-eb9aed182f4b,f6176f19-c718-4746-9808-d110ecf53a50,2025-04-12,1754.08,45,3,2514.88,838.293333,3,2,0.6667,1.6667,3,0.00,0.000000,0
91555fbf-15d1-49dc-b0d3-aa521b8f5199,f6176f19-c718-4746-9808-d110ecf53a50,2025-04-13,3527.50,45,4,4268.96,1067.240000,3,2,0.6667,1.6667,3,1754.08,0.410892,1
d21f6889-4197-4d9a-a1bb-c50185313c98,027e2c71-76f6-44d8-b214-51097fc3e605,2025-04-13,507.96,15,4,9664.65,2416.162500,4,1,0.2500,2.0000,8,0.00,0.000000,1
e47c0a25-bb90-4ae4-818f-94e7f0cd2df0,4f4f2ef2-6350-45b8-af19-6bd90adfc454,2025-04-16,3379.40,15,3,2200.54,733.513333,2,0,0.0000,0.0000,0,152.09,0.069115,0
5a2bae7f-a742-4aef-8f06-176f2e5e813c,8b278dae-e043-44f3-a5f0-8466df24d3a2,2025-04-17,2123.63,30,3,3298.21,1099.403333,2,0,0.0000,0.0000,0,809.93,0.245567,0
5c5487c4-9ce5-4603-8d47-db80dd3b5642,54739a70-fe3b-45f0-b6da-5eb96fddebc6,2025-04-17,3233.74,30,5,15492.93,3098.586000,5,3,0.6000,0.8000,2,0.00,0.000000,1
30d1f1f6-a77b-4301-a579-3a7b6f37e15c,505deb96-02b0-4484-ae43-533961fa661d,2025-04-19,2492.70,45,3,2061.03,687.010000,2,2,1.0000,1.0000,1,478.61,0.232219,0
03e9c77e-daeb-445c-bc55-8ba9281b813e,66aa9f2d-de6b-4def-8269-b6d0177dbf9a,2025-04-20,599.51,30,5,30932.27,6186.454000,4,2,0.5000,1.5000,3,1019.24,0.032951,0
50882ad6-7d4f-4088-b248-6446a3d03c41,1c22a6c4-3de0-4f96-b62a-3a6edbbaf732,2025-04-20,1428.12,30,3,7844.99,2614.996667,3,0,0.0000,0.0000,0,0.00,0.000000,1
a30ff73d-c04c-48c7-b06f-f6c6515b1db3,da7dbacc-46a8-44dc-b4c5-5e21bf437da6,2025-04-20,552.53,30,4,14179.70,3544.925000,3,1,0.3333,4.0000,12,4231.40,0.298413,0
08f242ff-29ea-4104-b143-42f908e2147d,911f8116-248a-4e3d-afb4-62a632746852,2025-04-21,2266.40,30,5,5981.81,1196.362000,3,2,0.6667,1.6667,3,1687.44,0.282095,1
7e9da4f5-8451-4982-ae3b-8b0e152d1a51,fec6b81b-c723-45e8-a11f-75a4cb6a1381,2025-04-21,2833.43,30,4,10526.37,2631.592500,2,1,0.5000,5.0000,10,4528.22,0.430179,0
51e426c5-68b6-458e-b3e5-ab2c1a77816c,db49dbe2-b046-4b0c-8d11-6e496b852270,2025-04-22,2215.14,30,4,14642.08,3660.520000,4,2,0.5000,1.0000,2,0.00,0.000000,1
855bbf67-5935-4979-b16b-784905de8c94,44e18ff7-c6c4-4f05-810a-10acda026843,2025-04-22,415.11,30,4,13094.53,3273.632500,3,0,0.0000,0.0000,0,478.61,0.036550,0
b8fc306a-a3f3-42dc-9c48-b6d485b551a3,54739a70-fe3b-45f0-b6da-5eb96fddebc6,2025-04-23,2171.40,30,6,18726.67,3121.111667,5,3,0.6000,0.8000,2,3233.74,0.172681,0
d0988d65-3dc7-44a7-8858-a47754c3f199,ff29a3b3-fb27-44ad-8dcc-9551fb3c7420,2025-04-23,924.71,45,5,7429.85,1485.970000,4,1,0.2500,3.5000,14,1905.20,0.256425,1
ffc3dc7e-8d11-44e7-81f8-7672aa2cdcd5,3cc7350b-72e0-4990-a2f4-79f0e19bfe72,2025-04-23,306.67,15,3,9596.75,3198.916667,3,2,0.6667,2.0000,3,0.00,0.000000,0
07d344d3-3a2c-4b49-ad48-87f7181f2750,8b278dae-e043-44f3-a5f0-8466df24d3a2,2025-04-24,1139.97,30,4,5421.84,1355.460000,2,0,0.0000,0.0000,0,2933.56,0.541064,1
10ba0835-2fb7-4835-9df5-1709b44ad189,34f539cb-584e-4259-ac9f-44e6d5484ebf,2025-04-24,355.05,15,3,10283.26,3427.753333,3,1,0.3333,0.6667,2,0.00,0.000000,1
7b4c401b-b40f-4625-9863-cde6e89ffcab,8b278dae-e043-44f3-a5f0-8466df24d3a2,2025-04-24,533.40,30,4,5421.84,1355.460000,2,0,0.0000,0.0000,0,2933.56,0.541064,1
8f8f8442-222b-41ce-8f1a-7c1e01c11dad,8daa11dd-d410-44bf-a0de-622a9ca7c78d,2025-04-24,5413.91,15,5,18982.80,3796.560000,4,2,0.5000,1.2500,3,627.48,0.033055,0
4566dc5d-b702-4b13-a3d0-06ded80faad8,911f8116-248a-4e3d-afb4-62a632746852,2025-04-25,550.59,30,6,8248.21,1374.701667,3,2,0.6667,1.6667,3,3953.84,0.479357,0
d67dc33f-0b93-4182-9c85-8189508bc308,86ab916f-9734-41f0-b5c0-9bbc082b3251,2025-04-25,896.87,30,6,15382.72,2563.786667,6,4,0.6667,1.1667,2,0.00,0.000000,0
e13705af-9ed3-4d37-b014-13e359e77c72,0c75c934-71c3-45ff-9de2-91babfa75c3f,2025-04-26,3946.79,30,3,11169.12,3723.040000,2,0,0.0000,0.0000,0,2380.19,0.213105,1
ee336d04-244c-4327-bbab-8654b385924e,a137cf0f-749a-402e-9913-60a7f4a47b92,2025-04-26,2006.11,30,4,8376.85,2094.212500,4,2,0.5000,3.5000,9,0.00,0.000000,1
c0087acd-49c2-44a1-9122-90832015f4bd,db49dbe2-b046-4b0c-8d11-6e496b852270,2025-04-27,1905.20,30,5,16857.22,3371.444000,4,2,0.5000,1.0000,2,2215.14,0.131406,0
1e2eb55c-8895-4c4a-a07b-7cac344c059c,7b3011de-1fd5-49d7-8cd0-565a3af5b5da,2025-04-30,719.55,30,3,2018.74,672.913333,3,2,0.6667,1.3333,3,0.00,0.000000,0
61df4f33-3929-4d55-b735-404acb86d441,b247c235-943b-4c46-91c2-168e86d26161,2025-04-30,969.41,45,4,2185.34,546.335000,3,1,0.3333,0.3333,1,701.63,0.321062,0
9614277e-c2a3-41a5-96b3-6b68a78b1aba,8aa74529-c59e-4daf-9b98-321ebfce7306,2025-05-01,321.97,30,3,6128.87,2042.956667,3,2,0.6667,1.3333,3,0.00,0.000000,1
f1f7da7e-b8f8-491f-987c-5897d19d96f3,a137cf0f-749a-402e-9913-60a7f4a47b92,2025-05-01,2842.72,30,5,10382.96,2076.592000,4,2,0.5000,3.5000,9,2006.11,0.193212,0
7edf5aee-2571-43c7-89e2-cc94af381331,9b131352-2e3f-4966-865e-a01b50bde6e5,2025-05-03,61.50,30,3,5095.59,1698.530000,3,0,0.0000,0.0000,0,0.00,0.000000,0
caf21013-ded5-4737-861e-b4d1bdb88e9b,a137cf0f-749a-402e-9913-60a7f4a47b92,2025-05-03,1386.62,30,6,13225.68,2204.280000,4,2,0.5000,3.5000,9,4848.83,0.366622,1
4fd9265c-db59-4b7c-a8c1-9c06746b361b,0c75c934-71c3-45ff-9de2-91babfa75c3f,2025-05-04,4864.59,30,4,15115.91,3778.977500,3,0,0.0000,0.0000,0,3946.79,0.261102,0
1949499c-33fa-4a15-aba5-cbc824495f8a,027e2c71-76f6-44d8-b214-51097fc3e605,2025-05-05,4513.30,15,5,10172.61,2034.522000,5,2,0.4000,2.0000,8,0.00,0.000000,0
80618c5a-1c68-424f-a1f0-7f8167d7322b,3cc7350b-72e0-4990-a2f4-79f0e19bfe72,2025-05-05,3837.90,15,4,9903.42,2475.855000,3,2,0.6667,2.0000,3,306.67,0.030966,1
90b58ce6-809a-4223-a370-0312e72fd8a2,091ba1e5-58cf-4e6c-badc-17dbe89dea69,2025-05-05,6693.66,45,4,16140.84,4035.210000,3,1,0.3333,0.3333,1,9343.12,0.578850,1
92ea343a-6cda-4d8e-852d-37a2b49ff68f,ced1be46-44d9-42f9-913f-bf359f04d616,2025-05-06,144.32,15,4,9316.33,2329.082500,4,2,0.5000,1.5000,3,0.00,0.000000,1
9baef42d-91eb-484b-a067-141e1a54ad3d,44e18ff7-c6c4-4f05-810a-10acda026843,2025-05-06,2541.64,30,5,13509.64,2701.928000,3,0,0.0000,0.0000,0,893.72,0.066154,0
0c0cc782-8d99-4874-8795-195d51311416,66aa9f2d-de6b-4def-8269-b6d0177dbf9a,2025-05-07,6554.86,30,6,31531.78,5255.296667,5,2,0.4000,1.2000,3,599.51,0.019013,1
0ac00700-5317-47d0-825e-8164ce064993,b4a140af-8af0-4074-8c4e-f1e587fff314,2025-05-08,1303.38,45,3,13820.45,4606.816667,2,1,0.5000,1.0000,2,836.24,0.060507,0
bb174b25-c3fc-42ac-b7b6-9c66c15ba28f,3cc7350b-72e0-4990-a2f4-79f0e19bfe72,2025-05-08,7964.96,15,5,13741.32,2748.264000,4,2,0.5000,1.5000,3,3837.90,0.279296,0
255fa025-8876-4384-aa94-27532dffe7be,82d60e37-f049-4852-9464-c94b4e5c3244,2025-05-09,482.95,30,3,4804.28,1601.426667,2,1,0.5000,4.5000,9,1494.78,0.311135,1
20a08b37-4e6c-430f-acd0-0ed36fa7cf3f,20791844-68d1-4c47-8940-96e45daf918f,2025-05-10,4809.45,30,5,12389.39,2477.878000,5,1,0.2000,0.6000,3,0.00,0.000000,0
da04d5e4-0432-449c-baad-ee5ad8566364,cf567dce-5613-483a-b10d-b4947a588d18,2025-05-10,4293.87,45,3,7072.21,2357.403333,2,1,0.5000,1.5000,3,1692.56,0.239325,1
cc2c4be7-4ed4-478c-ae41-cf3ef8d32ce5,ff29a3b3-fb27-44ad-8dcc-9551fb3c7420,2025-05-11,381.74,45,6,8354.56,1392.426667,4,1,0.2500,3.5000,14,2829.91,0.338726,1
ddf149f7-13ff-45d1-a5d0-1bd42bd5059b,c07f630a-a6d1-41a2-9f27-8f85f52260c4,2025-05-13,3622.68,30,3,12113.17,4037.723333,3,0,0.0000,0.0000,0,0.00,0.000000,1
260c020c-0480-4e8f-a8a5-020e24a43f1f,0915900f-d22e-42b0-8e9e-810e55498a13,2025-05-14,849.24,15,7,18910.91,2701.558571,7,2,0.2857,1.8571,11,0.00,0.000000,1
33f67824-c8a8-4597-b12f-42876f9ccad4,5772f550-5886-44ab-b618-cc525d22c053,2025-05-15,4600.70,30,5,13543.72,2708.744000,4,1,0.2500,0.7500,3,4800.21,0.354423,1
74ba782e-2ec9-4db1-9c96-a4faeb8aeed6,c07f630a-a6d1-41a2-9f27-8f85f52260c4,2025-05-15,4551.40,30,4,15735.85,3933.962500,3,0,0.0000,0.0000,0,3622.68,0.230218,1
7dfa4c78-c13d-47d7-b3bd-33a2f414ffe7,b247c235-943b-4c46-91c2-168e86d26161,2025-05-15,113.37,45,5,3154.75,630.950000,3,1,0.3333,0.3333,1,1671.04,0.529690,1
d889065d-ec67-481c-af06-e96bc4069f17,05f197bf-0bdd-44a5-84bb-1878a08666b6,2025-05-15,1494.79,15,3,6161.91,2053.970000,2,1,0.5000,1.0000,2,915.35,0.148550,0
b351d35b-1945-4181-93cd-73f53bb03243,8aa74529-c59e-4daf-9b98-321ebfce7306,2025-05-16,403.44,30,4,6450.84,1612.710000,3,2,0.6667,1.3333,3,321.97,0.049911,0
d9aea54e-f6f6-4b72-9645-97e873fcf2fe,5d5fa6d8-0ad7-4ade-be35-1c481b16b275,2025-05-16,2606.36,45,4,11987.79,2996.947500,4,3,0.7500,8.5000,16,0.00,0.000000,1
410bf931-1e91-474c-9d84-aa946a40dbf6,97c341f3-26c0-47ee-949b-ec2349709b82,2025-05-18,4463.59,30,3,7093.65,2364.550000,3,2,0.6667,3.3333,9,0.00,0.000000,0
01a7c616-b005-497a-881c-333457831615,ced1be46-44d9-42f9-913f-bf359f04d616,2025-05-19,4298.07,15,5,9460.65,1892.130000,4,2,0.5000,1.5000,3,144.32,0.015255,1
286375ad-0d08-48cf-9635-5b921bbca97d,78106c04-2615-4323-b215-3172fb34fc72,2025-05-19,1031.39,30,3,14279.24,4759.746667,2,1,0.5000,1.5000,3,5829.47,0.408248,1
777297d2-1694-4cfc-a55d-bfbdb30da427,8f10e8bf-c7a4-4bd6-93ce-4de936a938ef,2025-05-19,2406.60,45,3,8592.74,2864.246667,2,1,0.5000,0.5000,1,7109.06,0.827333,0
9d77d228-f6f8-4cc0-807d-97d850134955,b4a140af-8af0-4074-8c4e-f1e587fff314,2025-05-20,6578.32,45,4,15123.83,3780.957500,2,1,0.5000,1.0000,2,2139.62,0.141473,1
7dfbf57b-3bc5-4318-a713-4d3c42dfb2e4,dbc5aa6b-529c-4c91-8331-7ec33c8503bb,2025-05-21,1654.98,30,5,7355.25,1471.050000,4,3,0.7500,1.5000,3,3716.48,0.505283,1
111287d8-3a4e-4497-a77a-e47e46dbca14,549276f5-7982-4ddd-9090-30fd37f31bf6,2025-05-22,6433.78,15,3,7908.13,2636.043333,3,2,0.6667,9.0000,15,0.00,0.000000,1
fdb0da90-e70f-4868-986b-80ba0341163d,51833259-a233-414c-85fb-6ed59e50dfed,2025-05-22,1840.23,30,5,13837.05,2767.410000,4,2,0.5000,1.7500,6,4947.18,0.357531,0
2b247496-53f6-449c-8b85-d26c7ffdb1a6,97c341f3-26c0-47ee-949b-ec2349709b82,2025-05-23,8915.95,30,4,11557.24,2889.310000,3,2,0.6667,3.3333,9,4463.59,0.386216,1
70838ff8-23bc-4c7a-bde4-6a9b30f38db7,28e3eb2f-4e60-491c-8ecf-9260a4a4ced4,2025-05-23,80.49,45,4,26204.49,6551.122500,3,2,0.6667,1.6667,3,1647.95,0.062888,1
5b56a9cc-a02a-4004-96f1-843f3afa536e,da7dbacc-46a8-44dc-b4c5-5e21bf437da6,2025-05-24,644.46,30,5,14732.23,2946.446000,5,1,0.2000,2.4000,12,0.00,0.000000,0
95b87aac-9952-414a-aff8-5a96306844ac,e05c9e8f-2852-4c9d-9c2a-756d89ba64a0,2025-05-24,4907.28,30,5,14748.75,2949.750000,4,1,0.2500,0.2500,1,3385.12,0.229519,1
2c87a711-5519-4af9-8ab3-1a49cded2de9,d3f21a44-d6a7-4183-9e3d-ca1e2f665ada,2025-05-25,603.09,30,3,4392.99,1464.330000,2,1,0.5000,3.0000,6,830.45,0.189040,1
b2dac3b3-4d60-4a49-80f7-f64eb5ce35f8,1762b46f-b7ef-481c-9e0b-7e6d2033bcf4,2025-05-25,2794.06,15,5,17832.93,3566.586000,3,0,0.0000,0.0000,0,9793.42,0.549176,0
83079d33-444b-4dd3-9456-c42fcacd9336,a137cf0f-749a-402e-9913-60a7f4a47b92,2025-05-26,5361.48,30,7,14612.30,2087.471429,4,2,0.5000,3.5000,9,6235.45,0.426726,0
a57fb76c-071b-4c65-90a5-3a79a40d733b,9b131352-2e3f-4966-865e-a01b50bde6e5,2025-05-26,5767.57,30,4,5157.09,1289.272500,3,0,0.0000,0.0000,0,61.50,0.011925,1
5e67db9a-8eba-41b1-b8b5-8d9ed2d7389e,a137cf0f-749a-402e-9913-60a7f4a47b92,2025-05-27,1155.51,30,8,19973.78,2496.722500,4,2,0.5000,3.5000,9,11596.93,0.580608,0
a4bf8e84-d30e-4218-ae0a-81c8f3df2e16,4f4f2ef2-6350-45b8-af19-6bd90adfc454,2025-05-27,2866.61,15,4,5579.94,1394.985000,3,0,0.0000,0.0000,0,152.09,0.027257,1
cd001416-fbb6-4262-ba6f-78020f3afed7,e74c4bf9-90b2-4723-8b21-9af623c5b124,2025-05-27,2821.39,45,4,10676.68,2669.170000,3,0,0.0000,0.0000,0,1391.05,0.130289,0
050ae780-91e9-4d13-8621-3873c5da1306,1948ea27-1b6a-4dd3-8c99-b399dcf88ed3,2025-05-28,7811.30,30,3,7016.21,2338.736667,2,1,0.5000,5.0000,10,1719.00,0.245004,1
381b255d-37a2-4fd2-8d68-60c10e4d75b7,f8a3ae68-a437-491d-b88b-abad9164379f,2025-05-28,1494.79,45,4,7944.97,1986.242500,2,1,0.5000,6.0000,12,2284.35,0.287522,1
a2cce67e-42c3-4654-9c42-1aec11bb1ac8,05f197bf-0bdd-44a5-84bb-1878a08666b6,2025-05-28,8927.19,15,4,7656.70,1914.175000,4,1,0.2500,0.5000,2,0.00,0.000000,1
d8182ed2-2352-4354-9d5f-776d2bb84e82,1762b46f-b7ef-481c-9e0b-7e6d2033bcf4,2025-05-28,733.87,15,6,20626.99,3437.831667,3,0,0.0000,0.0000,0,12587.48,0.610243,1
5aff3200-9bef-4b1a-9138-6332754b09b4,e408e6a2-589e-4b0f-a98f-6a5e0f9e9e53,2025-05-29,2824.07,45,4,5258.42,1314.605000,3,1,0.3333,1.3333,4,390.54,0.074269,0
5c239943-6c7f-432e-8e9d-c21137e15dc6,8b278dae-e043-44f3-a5f0-8466df24d3a2,2025-05-29,80.49,30,6,7095.21,1182.535000,5,1,0.2000,0.4000,2,512.99,0.072301,1
10f25834-f2b4-485c-9a1d-7cf7610eb852,da7dbacc-46a8-44dc-b4c5-5e21bf437da6,2025-05-31,971.58,30,6,15376.69,2562.781667,5,1,0.2000,2.4000,12,644.46,0.041911,1
3d5847e6-c299-4a76-9e87-7e26f9b2c9fb,f5f339bf-3ab5-4a2e-916f-2db044568f67,2025-05-31,669.26,45,4,5332.46,1333.115000,2,1,0.5000,1.5000,3,4047.09,0.758954,1
6dd24b72-a74c-446a-8998-8740ad41f3a7,a69011f4-c3f9-4f91-92f2-3df9072b53e7,2025-05-31,705.35,15,4,4572.47,1143.117500,4,0,0.0000,0.0000,0,0.00,0.000000,0
85c9887b-a1f8-4402-a5fc-b78ad6629511,54739a70-fe3b-45f0-b6da-5eb96fddebc6,2025-05-31,3495.95,30,7,20898.07,2985.438571,7,4,0.5714,1.0000,3,0.00,0.000000,1
ca07e51b-8182-4c57-8eb6-285a45d29c54,c3bc5bb3-aee9-4150-b36a-c89a22162e7d,2025-05-31,2344.24,45,3,9704.95,3234.983333,2,1,0.5000,1.0000,2,371.61,0.038291,1
